Date,Brazil, Chile, China, Colombia, Czech Republic, Hong Kong, Hungary, India, Indonesia, Korea, Malaysia, Mexico, Peru, Philippines, Poland, Singapore, South Africa, Taiwan, Thailand,Turkey
13/01/2009,16993.65299,4.00593,286.02617,3.48895,42.49586,1762.18687,59.41571,68.45119,0.12599,0.87105,1.04429,1520.539,2241.98399,41.97771,8550.45176,3.48329,955.78779,136.31158,12.43187,16354.74818
14/01/2009,16226.67129,3.92894,295.84763,3.40062,40.71548,1766.78656,59.36534,70.88158,0.12409,0.87067,1.03569,1447.60362,2199.47308,42.08192,8253.43992,3.46883,819.58858,135.69838,12.5862,15428.39286
15/01/2009,16394.23731,3.96432,294.55727,3.34765,39.86482,1706.17125,56.45566,68.41791,0.11986,0.80068,0.99239,1434.60876,2200.19687,41.31819,7981.40761,3.33044,938.17412,129.36437,12.2155,15470.9984
16/01/2009,16791.81316,4.03208,299.77912,3.37166,40.30537,1707.98619,56.97602,70.43555,0.12356,0.82892,0.996,1460.70304,2227.11435,41.33821,8014.17103,3.46422,820.22996,130.58488,12.48064,15659.18866
20/01/2009,15759.19425,3.95854,306.0567,3.34402,37.30127,1670.31022,53.44676,68.62365,0.11901,0.82309,0.98759,1377.001,2216.25351,40.17548,7462.8025,3.34792,1015.62448,125.74422,12.39279,14858.85889
21/01/2009,16386.59004,3.97063,304.59188,3.32147,36.54491,1621.6645,53.62525,66.70413,0.11799,0.80272,0.95857,1400.15078,2209.32916,38.73937,7561.44074,3.34617,994.73275,126.16484,12.34025,14843.15632
22/01/2009,16276.93318,4.01571,307.86196,3.30385,35.68341,1631.37348,52.9904,66.41906,0.11851,0.80537,0.96075,1387.88508,2179.88906,39.38123,7342.74974,3.36163,772.13657,#N/A,12.56148,14865.13241
23/01/2009,16254.89218,4.02083,305.25056,3.26906,34.56767,1621.78958,52.17458,65.13171,0.11778,0.77298,0.95579,1372.83051,2210.39386,39.22577,7215.60217,3.28489,825.13633,#N/A,12.41466,14804.84497
26/01/2009,16692.43574,4.07337,#N/A,3.31108,36.32541,#N/A,54.74392,#N/A,#N/A,#N/A,#N/A,1396.07905,2209.04661,39.55075,7556.01343,#N/A,802.15761,#N/A,12.51913,15932.51534
27/01/2009,16624.67646,4.13561,#N/A,3.27758,36.63119,#N/A,53.86168,67.27081,0.11818,#N/A,#N/A,1388.52791,2181.68509,39.98661,7414.65605,#N/A,924.34568,#N/A,12.74835,15862.18642
28/01/2009,17683.17256,4.2015,#N/A,3.2771,37.93261,#N/A,55.43097,69.102,0.11684,0.85208,0.96861,1419.67729,2213.7644,39.86269,7572.84731,3.47565,1135.17028,#N/A,12.84855,16504.30752
29/01/2009,17271.64352,4.18828,#N/A,3.21867,36.56327,1695.90155,52.25222,68.6681,0.11707,0.84382,0.95331,1373.12174,2199.40029,39.4214,7272.15115,3.40321,846.18224,#N/A,12.46418,16027.31561
30/01/2009,17019.95975,4.13303,#N/A,3.20014,35.59786,1712.25692,49.67909,69.97672,0.11711,0.83323,0.94248,1370.39578,2173.21483,38.52026,7042.18575,3.4291,999.75103,#N/A,12.51616,15789.57078
02/02/2009,16649.3461,4.10871,308.37139,3.16267,34.75986,1658.56266,50.91683,67.97112,0.11107,0.81903,#N/A,#N/A,2133.29998,38.41707,6802.97834,3.37673,774.14262,126.33393,12.23477,15338.88316
03/02/2009,17124.1057,4.14535,316.29311,3.16634,34.07511,1648.01429,50.16695,68.19787,0.11172,0.84016,0.9311,1343.08025,2099.19667,38.84556,6367.75074,3.44622,868.53882,129.87259,12.32127,15617.7115
04/02/2009,17386.932,4.19565,323.77144,3.18305,34.0799,1684.59813,51.50392,68.55613,0.11309,0.86923,0.92968,1350.04263,2126.95493,39.12229,6345.2374,3.38443,909.60281,130.57615,12.39737,15970.83333
05/02/2009,17960.78663,4.23246,322.1876,3.23246,33.71327,1699.86715,51.67188,67.88702,0.11375,0.85962,0.9185,1384.29217,2118.80049,39.98626,6457.53835,3.38498,1150.20174,129.78138,12.3964,15805.61109
06/02/2009,18964.51541,4.3422,334.98896,3.27864,33.95964,1761.09986,52.87408,69.40606,0.11564,0.88054,0.9276,1436.37156,2170.78655,41.31178,6752.22761,3.43537,1000.32562,132.93444,12.69142,16518.51097
09/02/2009,18829.16102,4.42556,341.46834,3.28266,35.90772,1776.14871,54.97419,71.39753,0.11497,0.87001,#N/A,1454.40701,2172.59484,41.58679,7165.13268,3.48362,821.37389,133.29152,#N/A,16816.21269
10/02/2009,18135.47649,4.35588,347.99282,3.22119,34.06309,1790.63443,53.05244,71.56264,0.11265,0.85585,0.9545,1377.36006,2129.80473,40.86022,7027.7194,3.46706,804.92393,132.76914,12.662,15889.19349
11/02/2009,17822.50682,4.38115,347.30817,3.16431,33.39422,1746.72438,51.0925,71.6668,0.11266,0.8523,0.93454,1341.12055,2131.57736,40.6153,6779.72228,3.4611,803.2556,134.66598,12.65964,15502.91155
12/02/2009,17709.13383,4.39953,345.1955,3.14876,32.45865,1706.39302,50.4166,70.73361,0.10909,0.83399,0.92848,1328.34587,2122.62409,40.74756,6454.90881,3.36662,1058.81904,130.98006,12.52501,15117.85887
13/02/2009,18385.15071,4.51163,356.45224,3.22173,32.54998,1748.29036,51.27992,72.20103,0.11374,0.84642,0.92285,1340.63125,2137.01675,40.73722,6479.04185,3.3941,949.84096,134.91481,12.68193,15330.97889
17/02/2009,17200.62538,4.36544,356.05338,3.06373,27.83177,1669.44792,45.41278,66.50111,0.11076,0.77457,0.91973,1290.09263,2100.08677,39.72608,5410.38525,3.17076,898.70922,129.89532,12.41944,14113.07556
18/02/2009,16889.18761,4.37726,339.37611,3.03774,27.27154,1678.27118,42.79856,66.00561,0.1102,0.754,0.9296,1280.50872,2082.00866,39.65277,5557.69771,3.19739,910.93908,129.86057,12.4374,14004.88664
19/02/2009,16901.48812,4.30413,341.96549,3.03078,28.87214,1679.28513,44.67791,66.49476,0.10953,0.74703,0.91973,1279.94565,2059.53798,39.70324,5852.22826,3.13749,1025.17841,131.11957,12.40854,14446.09883
20/02/2009,16169.50283,4.16143,347.19284,2.94893,28.73227,1637.8629,43.62838,65.03057,0.10741,0.70362,0.90518,1230.07005,2043.46651,39.05834,5839.88752,3.07,1400.3102,127.42504,12.18246,13799.66056
